cell_type,cell_type_nt,cell_type_confidence,known_nt,known_nt_source,ito_lee_hemilineage,hartenstein_hemilineage,morphology_group,flow,cell_class,cell_sub_class,acetylcholine_fafb_n,acetylcholine_cell_type_fafb_confidence_sum,glutamate_fafb_n,glutamate_cell_type_fafb_confidence_sum,serotonin_fafb_n,dopamine_fafb_n,serotonin_cell_type_fafb_confidence_sum,dopamine_cell_type_fafb_confidence_sum,gaba_fafb_n,gaba_cell_type_fafb_confidence_sum,octopamine_fafb_n,octopamine_cell_type_fafb_confidence_sum,hemibrain_type,hemibrain_type_nt,hemibrain_type_confidence,acetylcholine_hemibrain_n,acetylcholine_cell_type_hemibrain_confidence_sum,glutamate_hemibrain_n,glutamate_cell_type_hemibrain_confidence_sum,dopamine_hemibrain_n,dopamine_cell_type_hemibrain_confidence_sum,serotonin_hemibrain_n,serotonin_cell_type_hemibrain_confidence_sum,gaba_hemibrain_n,gaba_cell_type_hemibrain_confidence_sum,octopamine_hemibrain_n,octopamine_cell_type_hemibrain_confidence_sum
CB2612,gaba,0.96,NA,NA,LHl1,BLD4,LHl1__0,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.2349999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2639,gaba,0.78,NA,NA,LHl1,BLD4,LHl1__0,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2763,gaba,0.96,NA,NA,LHl1,BLD4,LHl1__0,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.1470000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2798,gaba,0.555,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,1,0.459,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2978,gaba,0.48,NA,NA,LHl1,BLD4,LHl1__0,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3036,gaba,0.96,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3393,gaba,0.72,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAV4a1_b,gaba,0.7687,gaba,"Dolan et al., 2019",LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,1,0.398,NA,NA,NA,NA,6,3.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAV4a6,gaba,0.555,gaba,"Dolan et al., 2019",LHl1,BLD4,NA,intrinsic,LHLN,NA,NA,NA,1,0.465,NA,NA,NA,NA,1,0.574,NA,NA,LHAV4a6,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,3,0.7057,NA,NA
LHAV4c2,gaba,0.5775,gaba,"Dolan et al., 2019",LHl1,BLD4,LHl1__0,intrinsic,NA,NA,NA,NA,2,0.9099999999999999,NA,NA,NA,NA,4,2.4739999999999998,NA,NA,LHAV4c2,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,4,0.7163999999999999,NA,NA
LHAV4j1,gaba,0.96,gaba,"Dolan et al., 2019",LHl1,BLD4,NA,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.1600000000000001,NA,NA,LHAV4j1,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0.745,NA,NA
LHl1_38,gaba,0.96,NA,NA,LHl1,BLD4,LHl1__0,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aSP8,gaba,0.798,gaba,"Wang et al., 2021",LHl1,BLD4,LHl1__0,intrinsic,NA,NA,NA,NA,1,0.343,NA,NA,NA,NA,4,2.411,NA,NA,aSP8,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,2,0.7375,NA,NA
CB1186,glutamate,0.2157,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,NA,NA,NA,NA,2,0.756,NA,NA,NA,NA,1,0.585,NA,NA,LHAV4d1,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,5,0.7004,NA,NA
CB1401,glutamate,0.6667,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,8,4.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1432,glutamate,0.375,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,2,0.8300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2038,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,2,0.9450000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2480,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,6,3.0540000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2764,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,2,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2773,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,2,0.9450000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2854,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,6,2.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2861,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,2,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3094,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,NA,NA,NA,NA,2,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3149,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,NA,NA,NA,NA,2,1.0619999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3311,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,NA,NA,NA,NA,2,0.944,NA,NA,NA,NA,NA,NA,NA,NA,LHAV4e4,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,2,0.6659999999999999,NA,NA
CB3730,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,2,0.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3732,glutamate,0.75,NA,NA,LHl1,BLD4,LHl1__1,intrinsic,LHLN,NA,NA,NA,2,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAV4e1,glutamate,0.75,NA,NA,LHl1,BLD4,NA,intrinsic,NA,NA,NA,NA,2,1.013,NA,NA,NA,NA,NA,NA,NA,NA,LHAV4e1,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,3,0.6743,NA,NA
CB1244,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,6,5.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1b2,acetylcholine,0.94,15,0.6659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1245,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,4,3.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1b2,acetylcholine,0.94,15,0.6659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1289,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,5,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1308,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,2,1.8090000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1697,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,3,2.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1870,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,2,1.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1b2,acetylcholine,0.94,15,0.6659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2667,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,4,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3212,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,2,1.7229999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3244,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__1,intrinsic,NA,NA,2,1.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3357,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,3,2.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3369,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,4,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1b2,acetylcholine,0.94,15,0.6659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3392,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__1,intrinsic,NA,NA,4,3.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3507,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,4,3.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3515,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__1,intrinsic,NA,NA,3,2.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3780,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,2,1.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1b2,acetylcholine,0.94,15,0.6659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRE001,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,NA,intrinsic,NA,NA,4,3.5380000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRE001,acetylcholine,0.94,1,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1b1_b,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,6,5.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LHAD1b2_a,LHAD1b2_c",acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,15,11.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1b3,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,6,4.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1b3,acetylcholine,0.94,3,0.5923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1b4,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,NA,intrinsic,NA,NA,4,3.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1b4,acetylcholine,0.94,2,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1b5,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,11,10.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1b5,acetylcholine,0.94,5,0.7958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1c2a,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,2,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1c2,acetylcholine,0.94,5,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1c2b,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,4,3.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1c2,acetylcholine,0.94,5,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1c2c,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,5,4.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1c2,acetylcholine,0.94,5,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1d1,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,12,10.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1d1,acetylcholine,0.94,4,0.7024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAD1d2,acetylcholine,0.98,acetylcholine,"Dolan et al., 2019",LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,6,5.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAD1d2,acetylcholine,0.94,3,0.6734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLP128,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,7,5.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLP128,acetylcholine,0.94,2,0.5635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLP129_c,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__0,intrinsic,NA,NA,6,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMP003,SMP005",acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,LHl2_dorsal__1,intrinsic,NA,NA,7,6.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMP003|SMP005,acetylcholine,0.94,4,0.6849000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMP030,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,NA,intrinsic,NA,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMP030,acetylcholine,0.94,1,0.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMP031,acetylcholine,0.98,NA,NA,LHl2_dorsal,DPLal2_dorsal,NA,intrinsic,NA,NA,2,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMP031,acetylcholine,0.94,2,0.6735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVLP022,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,NA,intrinsic,NA,NA,NA,NA,2,1.3050000000000002,NA,NA,NA,NA,NA,NA,NA,NA,AVLP022,glutamate,0.72,NA,NA,1,0.523,NA,NA,NA,NA,NA,NA,NA,NA
AVLP059,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,NA,intrinsic,NA,NA,NA,NA,4,2.252,NA,NA,NA,NA,NA,NA,NA,NA,AVLP059,glutamate,0.72,NA,NA,2,0.5794999999999999,NA,NA,NA,NA,NA,NA,NA,NA
AVLP069,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,14,8.701,NA,NA,NA,NA,NA,NA,NA,NA,AVLP069,glutamate,0.72,NA,NA,9,0.5817,NA,NA,NA,NA,NA,NA,NA,NA
CB1005,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,2,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1116,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,2,1.2389999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1657,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,5,2.5709999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1911,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,3,1.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2140,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,4,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2193,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,4,2.2560000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2342,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,9,5.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2402,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,3,1.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2405,glutamate,0.375,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,1,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2645,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,4,2.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3439,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,5,2.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3512,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,2,1.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3532,glutamate,0.75,NA,NA,LHl2_ventral,NA,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,2,1.2850000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3569,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,2,1.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3606,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,3,1.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3629,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,4,2.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3630,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__1,intrinsic,NA,NA,NA,NA,2,1.1560000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3635,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,3,1.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3660,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__1,intrinsic,NA,NA,NA,NA,4,2.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3666,glutamate,0.75,NA,NA,LHl2_ventral,DPLal2_ventral,LHl2_ventral__0,intrinsic,NA,NA,NA,NA,4,2.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAV3k2,acetylcholine,0.98,NA,NA,LHl3,BLVa2b,NA,intrinsic,NA,NA,2,1.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAV3k2,acetylcholine,0.94,1,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHAV3k3,acetylcholine,0.98,NA,NA,LHl3,BLVa2b,NA,intrinsic,NA,NA,2,1.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LHAV3k3,acetylcholine,0.94,1,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTe37,acetylcholine,0.98,NA,NA,LHl3,BLVa2b,NA,intrinsic,NA,NA,4,3.6420000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PLP011|SLP339,acetylcholine,0.94,2,0.8385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLP210,acetylcholine,0.98,NA,NA,LHl3,BLVa2b,NA,intrinsic,NA,NA,2,1.8860000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLP210,acetylcholine,0.94,1,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL027,gaba,0.96,NA,NA,LHl3,BLVa2b,NA,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.307,NA,NA,CL027,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0.737,NA,NA
CL028,gaba,0.96,NA,NA,LHl3,BLVa2b,NA,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.924,NA,NA,CL028,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0.729,NA,NA
LHAV2m1,gaba,0.96,acetylcholine,ASB,LHl3,BLVa2b,NA,intrinsic,LHLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.6550000000000002,NA,NA,LHAV2m1,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,2,0.758,NA,NA
LHAV3m1,gaba,0.96,NA,NA,LHl3,BLVa2b,NA,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.209,NA,NA,LHAV3m1,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0.664,NA,NA
SLP206,gaba,0.96,NA,NA,LHl3,BLVa2b,NA,intrinsic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.2229999999999999,NA,NA,SLP206,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0.726,NA,NA
